triad_from,triad_to,component_id,shared_pair,dropped_w33,added_w33,drop_idx_in_sorted_prev,hol_from,hol_to,hol_flip,comm_k4_mod12,comm_phase_complex,comm_phase_angle_rad
181,183,59,7 35,20,23,1,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
182,178,58,7 22,34,19,2,3,3,0,6,-1.000000000000+0.000000000000j,3.141592653589793
182,179,58,7 34,22,19,1,3,9,1,6,-1.000000000000-0.000000000000j,-3.141592653589793
182,326,58,22 34,7,19,0,3,9,1,6,-1.000000000000-0.000000000000j,-3.141592653589793
183,333,59,23 35,7,20,0,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653589232
183,180,59,7 23,35,20,2,9,9,0,6,-1.000000000000+0.000000000000j,3.141592653589793
183,181,59,7 35,23,20,1,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653589232
184,282,54,25 37,7,13,0,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653588951
184,170,54,7 25,37,13,2,3,3,0,6,-1.000000000000+0.000000000000j,3.141592653589793
184,171,54,7 37,25,13,1,3,9,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
185,172,55,7 26,38,14,2,9,9,0,6,-1.000000000000-0.000000000000j,-3.1415926535895125
185,173,55,7 38,26,14,1,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653589232
185,295,55,26 38,7,14,0,9,3,1,6,-1.000000000000-0.000000000001j,-3.141592653588951
186,311,56,28 31,7,16,0,3,9,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
186,174,56,7 28,31,16,2,3,3,0,6,-1.000000000000-0.000000000000j,-3.141592653589793
186,175,56,7 31,28,16,1,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653588951
187,176,57,7 29,32,17,2,9,9,0,6,-1.000000000000-0.000000000000j,-3.1415926535895125
187,177,57,7 32,29,17,1,9,3,1,6,-1.000000000000-0.000000000001j,-3.141592653588951
187,317,57,29 32,7,17,0,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653589232
188,202,60,8 26,13,39,1,3,3,0,6,-1.000000000000-0.000000000001j,-3.141592653589232
188,283,60,13 26,8,39,0,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
188,189,60,8 13,26,39,2,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
189,202,60,8 39,13,26,1,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
189,283,60,13 39,8,26,0,9,9,0,6,-1.000000000000+0.000000000001j,3.141592653589232
189,188,60,8 13,39,26,2,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
190,296,61,14 27,8,37,0,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653589232
190,203,61,8 27,14,37,1,9,9,0,6,-1.000000000000-0.000000000000j,-3.1415926535895125
190,191,61,8 14,27,37,2,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
191,296,61,14 37,8,27,0,3,3,0,6,-1.000000000000+0.000000000000j,3.1415926535895125
191,203,61,8 37,14,27,1,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
191,190,61,8 14,37,27,2,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
192,193,62,8 17,30,31,2,3,9,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
192,205,62,8 30,17,31,1,3,3,0,6,-1.000000000000-0.000000000001j,-3.141592653589232
192,318,62,17 30,8,31,0,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653588951
193,192,62,8 17,31,30,2,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
193,205,62,8 31,17,30,1,9,3,1,6,-1.000000000000-0.000000000001j,-3.141592653588951
193,318,62,17 31,8,30,0,9,9,0,6,-1.000000000000+0.000000000001j,3.141592653589232
194,323,63,18 28,8,32,0,9,3,1,6,-1.000000000000-0.000000000001j,-3.141592653588951
194,195,63,8 18,28,32,2,9,3,1,6,-1.000000000000+0.000000000000j,3.141592653589793
194,204,63,8 28,18,32,1,9,9,0,6,-1.000000000000+0.000000000000j,3.1415926535895125
195,194,63,8 18,32,28,2,3,9,1,6,-1.000000000000-0.000000000000j,-3.141592653589793
195,323,63,18 32,8,28,0,3,3,0,6,-1.000000000000-0.000000000000j,-3.1415926535895125
195,204,63,8 32,18,28,1,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653588951
196,201,64,8 23,19,36,1,9,9,0,6,-1.000000000000-0.000000000001j,-3.141592653589232
196,197,64,8 19,23,36,2,9,3,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
196,327,64,19 23,8,36,0,9,3,1,6,-1.000000000000+0.000000000000j,3.141592653589793
197,201,64,8 36,19,23,1,3,9,1,6,-1.000000000000+0.000000000000j,3.141592653589793
197,196,64,8 19,36,23,2,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653589232
197,327,64,19 36,8,23,0,3,3,0,6,-1.000000000000+0.000000000001j,3.141592653589232
198,200,65,8 22,21,35,1,3,3,0,6,-1.000000000000+0.000000000001j,3.141592653589232
198,338,65,21 22,8,35,0,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
198,199,65,8 21,22,35,2,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653589232
199,200,65,8 35,21,22,1,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653589232
199,338,65,21 35,8,22,0,9,9,0,6,-1.000000000000-0.000000000001j,-3.141592653589232
199,198,65,8 21,35,22,2,9,3,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
200,338,65,22 35,8,21,0,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
200,198,65,8 22,35,21,2,3,3,0,6,-1.000000000000-0.000000000001j,-3.141592653589232
200,199,65,8 35,22,21,1,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
201,196,64,8 23,36,19,2,9,9,0,6,-1.000000000000+0.000000000001j,3.141592653589232
201,197,64,8 36,23,19,1,9,3,1,6,-1.000000000000+0.000000000000j,3.141592653589793
201,327,64,23 36,8,19,0,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653589232
202,283,60,26 39,8,13,0,3,9,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
202,188,60,8 26,39,13,2,3,3,0,6,-1.000000000000+0.000000000001j,3.141592653589232
202,189,60,8 39,26,13,1,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
203,296,61,27 37,8,14,0,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
203,190,61,8 27,37,14,2,9,9,0,6,-1.000000000000+0.000000000000j,3.1415926535895125
203,191,61,8 37,27,14,1,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653589232
204,323,63,28 32,8,18,0,9,3,1,6,-1.000000000000+0.000000000000j,3.141592653589793
204,194,63,8 28,32,18,2,9,9,0,6,-1.000000000000-0.000000000000j,-3.1415926535895125
204,195,63,8 32,28,18,1,9,3,1,6,-1.000000000000-0.000000000001j,-3.141592653588951
205,192,62,8 30,31,17,2,3,3,0,6,-1.000000000000+0.000000000001j,3.141592653589232
205,193,62,8 31,30,17,1,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653588951
205,318,62,30 31,8,17,0,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
206,284,66,13 27,9,38,0,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
206,221,66,9 27,13,38,1,3,3,0,6,-1.000000000000-0.000000000001j,-3.141592653589232
206,207,66,9 13,27,38,2,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653588951
207,284,66,13 38,9,27,0,9,9,0,6,-1.000000000000+0.000000000001j,3.141592653589232
207,221,66,9 38,13,27,1,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
207,206,66,9 13,38,27,2,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653588951
208,209,67,9 14,25,39,2,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653588951
208,220,67,9 25,14,39,1,9,9,0,6,-1.000000000000+0.000000000000j,3.1415926535895125
208,294,67,14 25,9,39,0,9,3,1,6,-1.000000000000-0.000000000000j,-3.141592653589793
209,208,67,9 14,39,25,2,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653588951
209,220,67,9 39,14,25,1,3,9,1,6,-1.000000000000+0.000000000000j,3.141592653589793
209,294,67,14 39,9,25,0,3,3,0,6,-1.000000000000-0.000000000000j,-3.1415926535895125
210,312,68,16 30,9,32,0,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
210,211,68,9 16,30,32,2,9,3,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
210,223,68,9 30,16,32,1,9,9,0,6,-1.000000000000-0.000000000000j,-3.1415926535895125
211,312,68,16 32,9,30,0,3,3,0,6,-1.000000000000+0.000000000000j,3.1415926535895125
211,210,68,9 16,32,30,2,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653589232
211,223,68,9 32,16,30,1,3,9,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
212,324,69,18 29,9,31,0,3,9,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
212,213,69,9 18,29,31,2,3,9,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
212,222,69,9 29,18,31,1,3,3,0,6,-1.000000000000-0.000000000001j,-3.141592653589232
213,212,69,9 18,31,29,2,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
213,222,69,9 31,18,29,1,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
213,324,69,18 31,9,29,0,9,9,0,6,-1.000000000000+0.000000000001j,3.141592653589232
214,218,70,9 22,20,36,1,3,3,0,6,-1.000000000000+0.000000000001j,3.141592653589232
214,332,70,20 22,9,36,0,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
214,215,70,9 20,22,36,2,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653589232
215,218,70,9 36,20,22,1,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653589232
215,332,70,20 36,9,22,0,9,9,0,6,-1.000000000000-0.000000000001j,-3.141592653589232
215,214,70,9 20,36,22,2,9,3,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
216,217,71,9 21,23,34,2,9,3,1,6,-1.000000000000+0.000000000000j,3.141592653589793
216,339,71,21 23,9,34,0,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653589232
216,219,71,9 23,21,34,1,9,9,0,6,-1.000000000000-0.000000000001j,-3.141592653589232
217,216,71,9 21,34,23,2,3,9,1,6,-1.000000000000+0.000000000000j,3.141592653589793
217,339,71,21 34,9,23,0,3,3,0,6,-1.000000000000+0.000000000001j,3.141592653589232
217,219,71,9 34,21,23,1,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
218,332,70,22 36,9,20,0,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
218,214,70,9 22,36,20,2,3,3,0,6,-1.000000000000-0.000000000001j,-3.141592653589232
218,215,70,9 36,22,20,1,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
219,216,71,9 23,34,21,2,9,9,0,6,-1.000000000000+0.000000000001j,3.141592653589232
219,217,71,9 34,23,21,1,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653589232
219,339,71,23 34,9,21,0,9,3,1,6,-1.000000000000+0.000000000000j,3.141592653589793
220,208,67,9 25,39,14,2,9,9,0,6,-1.000000000000-0.000000000000j,-3.1415926535895125
220,209,67,9 39,25,14,1,9,3,1,6,-1.000000000000-0.000000000000j,-3.141592653589793
220,294,67,25 39,9,14,0,9,3,1,6,-1.000000000000-0.000000000001j,-3.141592653588951
221,284,66,27 38,9,13,0,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653588951
221,206,66,9 27,38,13,2,3,3,0,6,-1.000000000000+0.000000000001j,3.141592653589232
221,207,66,9 38,27,13,1,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
222,212,69,9 29,31,18,2,3,3,0,6,-1.000000000000+0.000000000001j,3.141592653589232
222,213,69,9 31,29,18,1,3,9,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
222,324,69,29 31,9,18,0,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
223,312,68,30 32,9,16,0,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653589232
223,210,68,9 30,32,16,2,9,9,0,6,-1.000000000000+0.000000000000j,3.1415926535895125
223,211,68,9 32,30,16,1,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
224,8,2,11 12,10,0,0,9,3,1,6,-1.000000000000+0.000000000000j,3.141592653589793
224,6,2,10 11,12,0,2,9,3,1,6,-1.000000000000+0.000000000001j,3.1415926535886705
224,7,2,10 12,11,0,1,9,9,0,6,-1.000000000000-0.000000000001j,-3.1415926535886705
225,241,72,10 28,13,34,1,3,3,0,6,-1.000000000000-0.000000000000j,-3.1415926535895125
225,226,72,10 13,28,34,2,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
225,285,72,13 28,10,34,0,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653588951
226,225,72,10 13,34,28,2,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653589232
226,285,72,13 34,10,28,0,9,9,0,6,-1.000000000000+0.000000000000j,3.1415926535895125
226,241,72,10 34,13,28,1,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653588951
227,305,73,15 30,10,36,0,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
227,242,73,10 30,15,36,1,9,9,0,6,-1.000000000000+0.000000000001j,3.141592653588951
227,228,73,10 15,30,36,2,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653589232
228,305,73,15 36,10,30,0,3,3,0,6,-1.000000000000-0.000000000001j,-3.141592653588951
228,242,73,10 36,15,30,1,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
228,227,73,10 15,36,30,2,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
229,307,74,16 22,10,37,0,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
229,237,74,10 22,16,37,1,3,3,0,6,-1.000000000000+0.000000000001j,3.141592653589232
229,230,74,10 16,22,37,2,3,9,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
230,237,74,10 37,16,22,1,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
230,307,74,16 37,10,22,0,9,9,0,6,-1.000000000000-0.000000000001j,-3.141592653589232
230,229,74,10 16,37,22,2,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
231,232,75,10 18,24,39,2,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
231,320,75,18 24,10,39,0,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
231,238,75,10 24,18,39,1,9,9,0,6,-1.000000000000-0.000000000001j,-3.141592653589232
232,320,75,18 39,10,24,0,3,3,0,6,-1.000000000000+0.000000000001j,3.141592653589232
232,238,75,10 39,18,24,1,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
232,231,75,10 18,39,24,2,3,9,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
233,328,76,19 25,10,31,0,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653589232
233,234,76,10 19,25,31,2,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653588951
233,239,76,10 25,19,31,1,3,3,0,6,-1.000000000000-0.000000000000j,-3.1415926535895125
234,328,76,19 31,10,25,0,9,9,0,6,-1.000000000000+0.000000000000j,3.1415926535895125
234,233,76,10 19,31,25,2,9,3,1,6,-1.000000000000-0.000000000001j,-3.141592653588951
234,239,76,10 31,19,25,1,9,3,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
235,240,77,10 27,21,33,1,9,9,0,6,-1.000000000000+0.000000000001j,3.141592653588951
235,236,77,10 21,27,33,2,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
235,341,77,21 27,10,33,0,9,3,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
236,240,77,10 33,21,27,1,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653589232
236,235,77,10 21,33,27,2,3,9,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
236,341,77,21 33,10,27,0,3,3,0,6,-1.000000000000-0.000000000001j,-3.141592653588951
237,307,74,22 37,10,16,0,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
237,229,74,10 22,37,16,2,3,3,0,6,-1.000000000000-0.000000000001j,-3.141592653589232
237,230,74,10 37,22,16,1,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
238,232,75,10 39,24,18,1,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
238,320,75,24 39,10,18,0,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
238,231,75,10 24,39,18,2,9,9,0,6,-1.000000000000+0.000000000001j,3.141592653589232
239,328,76,25 31,10,19,0,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653588951
239,233,76,10 25,31,19,2,3,3,0,6,-1.000000000000+0.000000000000j,3.1415926535895125
239,234,76,10 31,25,19,1,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653589232
240,235,77,10 27,33,21,2,9,9,0,6,-1.000000000000-0.000000000001j,-3.141592653588951
240,236,77,10 33,27,21,1,9,3,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
240,341,77,27 33,10,21,0,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
241,225,72,10 28,34,13,2,3,3,0,6,-1.000000000000+0.000000000000j,3.1415926535895125
241,226,72,10 34,28,13,1,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653588951
241,285,72,28 34,10,13,0,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653589232
242,305,73,30 36,10,15,0,9,3,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
242,227,73,10 30,36,15,2,9,9,0,6,-1.000000000000-0.000000000001j,-3.141592653588951
242,228,73,10 36,30,15,1,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
243,244,78,11 13,29,36,2,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
243,260,78,11 29,13,36,1,3,3,0,6,-1.000000000000-0.000000000000j,-3.1415926535895125
243,286,78,13 29,11,36,0,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
244,243,78,11 13,36,29,2,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653589232
244,260,78,11 36,13,29,1,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
244,286,78,13 36,11,29,0,9,9,0,6,-1.000000000000+0.000000000000j,3.1415926535895125
245,259,79,11 28,15,35,1,9,9,0,6,-1.000000000000+0.000000000000j,3.1415926535895125
245,246,79,11 15,28,35,2,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653589232
245,303,79,15 28,11,35,0,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
246,259,79,11 35,15,28,1,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
246,245,79,11 15,35,28,2,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
246,303,79,15 35,11,28,0,3,3,0,6,-1.000000000000-0.000000000000j,-3.1415926535895125
247,248,80,11 17,24,37,2,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
247,256,80,11 24,17,37,1,9,9,0,6,-1.000000000000-0.000000000001j,-3.1415926535886705
247,314,80,17 24,11,37,0,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
248,256,80,11 37,17,24,1,3,9,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
248,314,80,17 37,11,24,0,3,3,0,6,-1.000000000000+0.000000000001j,3.1415926535886705
248,247,80,11 17,37,24,2,3,9,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
249,250,81,11 18,22,38,2,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
249,319,81,18 22,11,38,0,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
249,255,81,11 22,18,38,1,3,3,0,6,-1.000000000000+0.000000000001j,3.1415926535886705
250,249,81,11 18,38,22,2,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
250,319,81,18 38,11,22,0,9,9,0,6,-1.000000000000-0.000000000001j,-3.1415926535886705
250,255,81,11 38,18,22,1,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
251,329,82,19 26,11,33,0,9,3,1,6,-1.000000000000+0.000000000000j,3.141592653589793
251,257,82,11 26,19,33,1,9,9,0,6,-1.000000000000+0.000000000001j,3.141592653588951
251,252,82,11 19,26,33,2,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
252,329,82,19 33,11,26,0,3,3,0,6,-1.000000000000-0.000000000001j,-3.141592653588951
252,257,82,11 33,19,26,1,3,9,1,6,-1.000000000000+0.000000000000j,3.141592653589793
252,251,82,11 19,33,26,2,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
253,258,83,11 27,20,31,1,3,3,0,6,-1.000000000000+0.000000000000j,3.1415926535895125
253,254,83,11 20,27,31,2,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653588951
253,335,83,20 27,11,31,0,3,9,1,6,-1.000000000000+0.000000000000j,3.141592653589793
254,258,83,11 31,20,27,1,9,3,1,6,-1.000000000000+0.000000000000j,3.141592653589793
254,253,83,11 20,31,27,2,9,3,1,6,-1.000000000000-0.000000000001j,-3.141592653588951
254,335,83,20 31,11,27,0,9,9,0,6,-1.000000000000-0.000000000000j,-3.1415926535895125
255,249,81,11 22,38,18,2,3,3,0,6,-1.000000000000-0.000000000001j,-3.1415926535886705
255,250,81,11 38,22,18,1,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
255,319,81,22 38,11,18,0,3,9,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
256,248,80,11 37,24,17,1,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
256,314,80,24 37,11,17,0,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
256,247,80,11 24,37,17,2,9,9,0,6,-1.000000000000+0.000000000001j,3.1415926535886705
257,329,82,26 33,11,19,0,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
257,251,82,11 26,33,19,2,9,9,0,6,-1.000000000000-0.000000000001j,-3.141592653588951
257,252,82,11 33,26,19,1,9,3,1,6,-1.000000000000+0.000000000000j,3.141592653589793
258,253,83,11 27,31,20,2,3,3,0,6,-1.000000000000-0.000000000000j,-3.1415926535895125
258,254,83,11 31,27,20,1,3,9,1,6,-1.000000000000+0.000000000000j,3.141592653589793
258,335,83,27 31,11,20,0,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653588951
259,245,79,11 28,35,15,2,9,9,0,6,-1.000000000000-0.000000000000j,-3.1415926535895125
259,246,79,11 35,28,15,1,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
259,303,79,28 35,11,15,0,9,3,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
260,243,78,11 29,36,13,2,3,3,0,6,-1.000000000000+0.000000000000j,3.1415926535895125
260,244,78,11 36,29,13,1,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
260,286,78,29 36,11,13,0,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653589232
261,287,84,13 30,12,35,0,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653588951
261,262,84,12 13,30,35,2,3,9,1,6,-1.000000000000+0.000000000000j,3.141592653589793
261,278,84,12 30,13,35,1,3,3,0,6,-1.000000000000+0.000000000000j,3.1415926535895125
262,261,84,12 13,35,30,2,9,3,1,6,-1.000000000000-0.000000000000j,-3.141592653589793
262,278,84,12 35,13,30,1,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653588951
262,287,84,13 35,12,30,0,9,9,0,6,-1.000000000000-0.000000000000j,-3.1415926535895125
263,264,85,12 15,29,34,2,9,3,1,6,-1.000000000000-0.000000000000j,-3.141592653589793
263,304,85,15 29,12,34,0,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
263,277,85,12 29,15,34,1,9,9,0,6,-1.000000000000+0.000000000001j,3.141592653588951
264,304,85,15 34,12,29,0,3,3,0,6,-1.000000000000-0.000000000001j,-3.141592653588951
264,277,85,12 34,15,29,1,3,9,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
264,263,85,12 15,34,29,2,3,9,1,6,-1.000000000000+0.000000000000j,3.141592653589793
265,266,86,12 16,24,38,2,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
265,274,86,12 24,16,38,1,9,9,0,6,-1.000000000000-0.000000000001j,-3.1415926535886705
265,308,86,16 24,12,38,0,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
266,265,86,12 16,38,24,2,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
266,274,86,12 38,16,24,1,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
266,308,86,16 38,12,24,0,3,3,0,6,-1.000000000000+0.000000000001j,3.1415926535886705
267,273,87,12 22,17,39,1,3,3,0,6,-1.000000000000+0.000000000001j,3.1415926535886705
267,268,87,12 17,22,39,2,3,9,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
267,313,87,17 22,12,39,0,3,9,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
268,273,87,12 39,17,22,1,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
268,267,87,12 17,39,22,2,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
268,313,87,17 39,12,22,0,9,9,0,6,-1.000000000000-0.000000000001j,-3.1415926535886705
269,334,88,20 25,12,33,0,9,3,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
269,275,88,12 25,20,33,1,9,9,0,6,-1.000000000000+0.000000000000j,3.1415926535895125
269,270,88,12 20,25,33,2,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
270,275,88,12 33,20,25,1,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653589232
