line_id,native_mean_abs_delta,var_q_class,var_q_r,unique_k_mod6,unique_k_mod3,k12_entropy,k12_kl_global,tau_shift_similarity,prior_score,fit_score,node_commutator_score,mixed_score,e_star_oddness,rank_native,rank_prior,rank_fit,rank_node_commutator,rank_mixed,rank_e_star_oddness,in_top_native,in_top_prior,in_top_fit,in_top_node_commutator,in_top_mixed,in_top_e_star_oddness
0,2.05432739528306,low(1/9),0.111111,4,2,2.584962500721156,0.6274218645099946,0.048611,0.37806499105771063,3.1638509418368486,9.858192187231559,-1.7975842637830444,0.16666666666666666,23,13,14,19,38,25,0,0,0,0,0,0
1,6.42374277101512,mid(1/3),0.333333,6,3,2.5219280948873624,0.388454659525131,0.08,-2.724165707976187,2.0930337734621345,9.249472144901741,-0.4127715077622689,0.3333333333333333,6,33,31,37,23,13,1,0,0,0,0,0
2,2.05378337379744,low(1/9),0.111111,5,3,2.751629167387823,0.4607552005383319,0.083333,-1.6849313564929278,2.4201167907204164,9.249472144901741,0.4861795317636405,0.3333333333333333,24,27,21,38,16,14,0,0,0,0,0,0
3,7.51718648772467,low(1/9),0.111111,5,3,2.617492461184755,0.27478338570578686,0.0625,-1.450733549969423,4.802562206612129,9.921707679673178,1.0887805444724803,0.6666666666666666,2,25,3,6,10,1,1,0,1,0,0,1
4,1.46572821925664,low(1/9),0.111111,4,3,2.584962500721156,0.6274218645099946,0.076389,-0.4860028638072148,2.1188503442684548,9.921707679673178,-0.17593496357625824,0.3333333333333333,29,21,27,7,21,15,0,0,0,0,0,0
5,2.03658341353729,low(1/9),0.111111,4,2,2.5849625007211565,0.6274218645099945,0.048611,0.37806499105770924,3.163850941836848,10.112254156998032,-1.586748861429241,0.0,26,16,16,5,37,39,0,0,0,1,0,0
6,2.37877467207672,low(1/9),0.111111,5,3,2.751629167387823,0.46075520053833185,0.083333,-1.684931356492928,2.4201167907204164,9.921707679673178,0.7306124568340144,0.6666666666666666,19,29,22,8,12,2,0,0,0,0,0,1
7,6.82391524261373,low(1/9),0.111111,4,3,2.4508257945180887,0.4414500496774495,0.055556,-0.2518050572837115,4.501295760160167,9.731161202348321,1.0042466349150103,0.6666666666666666,5,20,6,31,11,3,1,0,1,0,0,1
8,8.49327497788095,low(1/9),0.111111,4,2,2.4508257945180882,0.4414500496774496,0.055556,-0.2518050572837102,4.501295760160167,9.731161202348321,0.13199473246777793,0.5,1,17,7,32,17,11,1,0,1,0,0,0
9,2.20011628197,low(1/9),0.111111,5,3,2.617492461184755,0.2747833857057869,0.0625,-1.450733549969423,4.802562206612129,9.858192187231559,1.4198009188261034,0.16666666666666666,20,26,4,20,8,26,0,0,1,0,0,0
10,2.56335998412914,low(1/9),0.111111,4,2,2.5849625007211565,0.6274218645099945,0.076389,-0.4860028638072162,2.118850344268454,9.85819218723156,-2.2271437747409744,0.0,14,22,28,18,39,40,0,0,0,0,0,0
11,5.68006457380964,low(1/9),0.111111,3,3,2.117492461184755,0.774783377620775,0.013889,3.0101508891465647,4.94380108454519,9.249472144901741,-0.0006456899929531135,0.3333333333333333,7,7,2,39,18,16,1,1,1,0,0,0
12,5.6741830431834,low(1/9),0.111111,4,2,2.4508257945180882,0.4414500496774496,0.055556,-0.2518050572837102,4.501295760160167,9.858192187231559,-1.3239762866958151,0.16666666666666666,8,18,8,21,35,27,1,0,1,0,0,0
13,2.7848646882616,low(1/9),0.111111,4,3,2.5849625007211565,0.6274218645099945,0.076389,-0.4860028638072162,2.118850344268454,9.731161202348321,0.6963115122077778,0.5,13,23,29,33,13,12,0,0,0,0,0,0
14,7.48677624862613,low(1/9),0.111111,3,3,2.1174924611847548,0.7747833776207749,0.013889,3.010150889146565,4.943801084545192,9.921707679673178,-0.5537878173134344,0.3333333333333333,3,6,1,9,25,17,1,1,1,0,0,0
15,1.95585971635075,low(1/9),0.111111,2,1,1.8879185026711327,1.0043573333418994,0.0,4.796111587002356,4.691492317134676,9.249472144901741,1.473218763436048,0.3333333333333333,27,2,5,40,6,18,0,1,1,0,0,0
16,1.33306049256639,low(1/9),0.111111,5,3,2.751629167387823,0.46075520053833185,0.083333,-1.684931356492928,2.4201167907204164,9.921707679673178,0.5185072125397162,0.6666666666666666,34,30,23,10,15,4,0,0,0,0,0,1
17,0.847793906948965,high(1),1.0,1,1,0.0,1.3810900835452342,0.0,4.798677933746334,1.5537912326582386,9.921707679673178,1.4264114000683707,0.6666666666666666,39,1,40,11,7,5,0,1,0,0,0,1
18,1.22196840314173,mid(1/3),0.333333,6,3,2.5219280948873624,0.388454659525131,0.08,-2.724165707976187,2.0930337734621345,9.731161202348321,-0.42324323153662596,0.16666666666666666,36,34,32,34,24,28,0,0,0,0,0,0
19,2.52075354719484,low(1/9),0.111111,4,2,2.5849625007211565,0.6274218645099945,0.076389,-0.4860028638072162,2.118850344268454,10.403396737119758,3.548678243141372,0.3333333333333333,16,24,30,2,1,19,0,0,0,1,1,0
20,0.911797624781329,mid(1/3),0.333333,6,3,2.5219280948873624,0.388454659525131,0.08,-2.724165707976187,2.0930337734621345,10.403396737119758,-0.31128118754767076,0.3333333333333333,37,35,33,3,22,20,0,0,0,1,0,0
21,5.06605320477297,mid(1/3),0.333333,4,3,1.9219280948873623,1.163943399708877,0.0,3.9634226755673305,1.952995384024687,9.921707679673178,1.5915838906064774,0.6666666666666666,9,3,37,12,4,6,1,1,0,0,1,0
22,2.07701708523186,low(1/9),0.111111,4,2,2.584962500721156,0.6274218645099945,0.048611,0.3780649910577102,3.163850941836849,9.731161202348321,2.3346815577628433,0.6666666666666666,22,15,13,35,2,7,0,0,0,0,1,0
23,1.39942476543326,low(1/9),0.111111,4,3,2.4508257945180887,0.4414500496774496,0.055556,-0.25180505728371116,4.501295760160166,9.921707679673178,1.6898963184564306,0.6666666666666666,33,19,9,13,3,8,0,0,1,0,1,0
24,1.46572821925664,low(1/9),0.111111,5,3,2.751629167387823,0.4607552005383319,0.083333,-1.6849313564929278,2.4201167907204164,9.858192187231559,-0.03441650574995603,0.16666666666666666,30,28,24,22,20,29,0,0,0,0,0,0
25,4.12338081202633,mid(1/3),0.333333,4,3,1.9219280948873623,1.163943399708877,0.0,3.9634226755673305,1.952995384024687,9.858192187231559,-0.7936972757110974,0.16666666666666666,11,4,38,23,29,30,0,1,0,0,0,0
26,1.46572821925664,low(1/9),0.111111,3,3,2.355388542207534,0.8569958202311193,0.034722,2.164025688913502,2.91154217442633,9.921707679673178,1.2732443455682176,0.6666666666666666,31,9,18,14,9,9,0,1,0,0,0,0
27,2.40573633646218,mid(1/3),0.333333,6,3,2.5219280948873624,0.388454659525131,0.08,-2.724165707976187,2.0930337734621345,9.858192187231559,-0.5615686800382275,0.16666666666666666,18,36,34,24,26,31,0,0,0,0,0,0
28,0.861640392092124,mid(1/3),0.333333,6,3,2.5219280948873624,0.388454659525131,0.08,-2.724165707976187,2.0930337734621345,9.731161202348321,-1.225099845511896,0.16666666666666666,38,37,35,36,34,32,0,0,0,0,0,0
29,2.42213330205873,low(1/9),0.111111,4,2,2.584962500721156,0.6274218645099946,0.048611,0.37806499105771063,3.1638509418368486,9.858192187231559,-3.5266691995506934,0.16666666666666666,17,14,15,25,40,33,0,0,0,0,0,0
30,1.32867382060093,low(1/9),0.111111,3,3,2.3553885422075336,0.8569958202311192,0.034722,2.1640256889135023,2.911542174426333,10.403396737119758,-0.0006456899929531135,0.3333333333333333,35,8,17,4,19,21,0,1,0,1,0,0
31,0.794367767804505,mid(1/3),0.333333,6,3,2.5219280948873624,0.388454659525131,0.08,-2.724165707976187,2.0930337734621345,9.858192187231559,-1.1964532716103098,0.16666666666666666,40,38,36,26,33,34,0,0,0,0,0,0
32,2.08596386649166,mid(1/3),0.333333,4,3,1.9219280948873623,1.163943399708877,0.0,3.9634226755673305,1.952995384024687,9.921707679673178,-1.5488191832016185,0.3333333333333333,21,5,39,15,36,22,0,1,0,0,0,0
33,2.55866257390285,low(1/9),0.111111,5,3,2.751629167387823,0.46075520053833185,0.083333,-1.684931356492928,2.4201167907204164,9.858192187231559,0.6886372860088443,0.16666666666666666,15,31,25,27,14,35,0,0,0,0,0,0
34,2.05378337379744,mid(1/3),0.333333,6,3,2.1609640474436813,0.6652884781367054,0.0,1.576464138020246,4.423513172576636,9.858192187231559,-0.6606390512733741,0.16666666666666666,25,10,10,28,27,36,0,1,1,0,0,0
35,1.46572821925664,mid(1/3),0.333333,6,3,2.1609640474436813,0.6652884781367054,0.0,1.576464138020246,4.423513172576636,9.921707679673178,1.5020355024889895,0.6666666666666666,32,11,11,16,5,10,0,0,0,0,1,0
36,7.097558018763,mid(1/3),0.333333,6,3,2.1609640474436813,0.6652884781367054,0.0,1.576464138020246,4.423513172576636,9.921707679673178,-0.8554907146022735,0.3333333333333333,4,12,12,17,31,23,1,0,0,0,0,0
37,3.06200856181143,low(1/9),0.111111,6,3,2.9182958340544896,0.29408853656666917,0.090278,-2.883890955372565,2.7213456174518247,9.858192187231559,-0.8688638634645482,0.16666666666666666,12,39,19,29,32,37,0,0,0,0,0,0
38,4.26822312536555,low(1/9),0.111111,6,3,2.9182958340544896,0.2940885365666692,0.090278,-2.883890955372565,2.7213456174518247,9.858192187231559,-0.8086150370388382,0.16666666666666666,10,40,20,30,30,38,1,0,0,0,0,0
39,1.91847622729074,low(1/9),0.111111,5,3,2.751629167387823,0.46075520053833185,0.083333,-1.684931356492928,2.4201167907204164,10.40339673711976,-0.7107249494400464,0.3333333333333333,28,32,26,1,28,24,0,0,0,1,0,0
