"line_id","point_ids","total_entries","unique_k_mod6","unique_k_mod3","coord0_unique_k_mod6","coord1_unique_k_mod6","coord2_unique_k_mod6","coord3_unique_k_mod6","k_mod6_counts","k_mod3_counts"
"0","2 13 17 21","12","4","2","1","2","2","2","{""0"":5,""1"":1,""3"":4,""4"":2}","{""0"":9,""1"":3}"
"1","2 4 8 12","10","6","3","1","1","3","3","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
"2","9 15 26 37","12","5","3","1","2","2","2","{""0"":4,""2"":2,""3"":3,""4"":1,""5"":2}","{""0"":7,""1"":1,""2"":4}"
"3","10 14 29 35","12","5","3","1","2","2","2","{""0"":6,""1"":2,""2"":1,""3"":2,""5"":1}","{""0"":8,""1"":2,""2"":2}"
"4","9 19 24 35","12","4","3","1","2","2","2","{""0"":4,""1"":3,""2"":3,""3"":2}","{""0"":6,""1"":3,""2"":3}"
"5","12 18 23 37","12","4","2","1","2","2","2","{""0"":5,""2"":2,""3"":1,""5"":4}","{""0"":6,""2"":6}"
"6","2 31 35 39","12","5","3","1","2","2","2","{""0"":4,""1"":2,""2"":1,""3"":3,""4"":2}","{""0"":7,""1"":4,""2"":1}"
"7","8 20 24 34","12","4","3","1","2","2","2","{""0"":6,""1"":3,""2"":1,""5"":2}","{""0"":6,""1"":3,""2"":3}"
"8","3 31 36 38","12","4","2","1","2","2","2","{""0"":6,""2"":1,""3"":3,""5"":2}","{""0"":9,""2"":3}"
"9","10 20 26 32","12","5","3","1","2","2","2","{""0"":6,""1"":1,""3"":2,""4"":1,""5"":2}","{""0"":8,""1"":2,""2"":2}"
"10","11 21 25 32","12","4","2","1","2","2","2","{""0"":4,""1"":3,""3"":2,""4"":3}","{""0"":6,""1"":6}"
"11","3 13 18 20","12","3","3","1","2","2","2","{""0"":7,""1"":1,""5"":4}","{""0"":7,""1"":1,""2"":4}"
"12","8 15 25 38","12","4","2","1","2","2","2","{""0"":6,""1"":2,""3"":3,""4"":1}","{""0"":9,""1"":3}"
"13","2 22 26 30","12","4","3","1","2","2","2","{""0"":4,""3"":2,""4"":3,""5"":3}","{""0"":6,""1"":3,""2"":3}"
"14","8 16 29 33","12","3","3","1","2","2","2","{""0"":7,""1"":4,""5"":1}","{""0"":7,""1"":4,""2"":1}"
"15","10 17 23 38","12","2","1","1","2","2","2","{""0"":7,""3"":5}","{""0"":12}"
"16","7 15 27 39","12","5","3","1","2","2","2","{""0"":4,""1"":2,""3"":1,""4"":3,""5"":2}","{""0"":5,""1"":5,""2"":2}"
"17","0 4 5 6","4","1","1","1","1","1","1","{""0"":4}","{""0"":4}"
"18","1 4 7 10","10","6","3","1","1","3","3","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
"19","12 14 28 36","12","4","2","1","2","2","2","{""0"":4,""2"":3,""3"":2,""5"":3}","{""0"":6,""2"":6}"
"20","0 22 23 24","10","6","3","1","1","3","3","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
"21","5 16 26 36","10","4","3","1","3","1","3","{""0"":4,""1"":2,""3"":2,""5"":2}","{""0"":6,""1"":2,""2"":2}"
"22","9 17 28 33","12","4","2","1","2","2","2","{""0"":5,""2"":2,""3"":4,""5"":1}","{""0"":9,""2"":3}"
"23","3 22 27 29","12","4","3","1","2","2","2","{""0"":6,""1"":2,""4"":1,""5"":3}","{""0"":6,""1"":3,""2"":3}"
"24","12 19 27 32","12","5","3","1","2","2","2","{""0"":4,""1"":3,""2"":2,""4"":1,""5"":2}","{""0"":4,""1"":4,""2"":4}"
"25","5 18 25 35","10","4","3","1","3","1","3","{""0"":4,""1"":2,""3"":2,""5"":2}","{""0"":6,""1"":2,""2"":2}"
"26","1 13 16 19","12","3","3","1","2","2","2","{""0"":5,""1"":5,""2"":2}","{""0"":5,""1"":5,""2"":2}"
"27","3 4 9 11","10","6","3","1","1","3","3","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
"28","0 13 14 15","10","6","3","1","1","3","3","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
"29","11 16 23 39","12","4","2","1","2","2","2","{""0"":5,""1"":4,""3"":1,""4"":2}","{""0"":6,""1"":6}"
"30","7 18 30 33","12","3","3","1","2","2","2","{""0"":5,""4"":2,""5"":5}","{""0"":5,""1"":2,""2"":5}"
"31","0 31 32 33","10","6","3","1","1","3","3","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
"32","5 17 27 34","10","4","3","1","3","1","3","{""0"":4,""1"":2,""3"":2,""5"":2}","{""0"":6,""1"":2,""2"":2}"
"33","11 14 30 34","12","5","3","1","2","2","2","{""0"":4,""1"":2,""2"":1,""4"":2,""5"":3}","{""0"":4,""1"":4,""2"":4}"
"34","6 21 29 37","10","6","3","1","3","3","1","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
"35","6 19 30 38","10","6","3","1","3","3","1","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
"36","6 20 28 39","10","6","3","1","3","3","1","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
"37","7 21 24 36","12","6","3","1","2","2","2","{""0"":4,""1"":1,""2"":1,""3"":2,""4"":2,""5"":2}","{""0"":6,""1"":3,""2"":3}"
"38","1 22 25 28","12","6","3","1","2","2","2","{""0"":4,""1"":2,""2"":2,""3"":2,""4"":1,""5"":1}","{""0"":6,""1"":3,""2"":3}"
"39","1 31 34 37","12","5","3","1","2","2","2","{""0"":4,""1"":2,""2"":3,""3"":1,""5"":2}","{""0"":5,""1"":2,""2"":5}"
