rank,avg_mean_abs_delta,min_mean_abs_delta,max_mean_abs_delta,idx_set,w33_lines
1,0.012033,0.001289,0.028922,"[2, 3, 4, 5, 6, 10, 12, 13, 14, 17, 18, 21, 22, 23, 25]","[18, 15, 21, 36, 7, 26, 32, 19, 35, 1, 39, 22, 8, 17, 14]"
2,0.011405,0.000448,0.028922,"[1, 4, 6, 7, 8, 10, 12, 13, 14, 16, 18, 19, 20, 22, 25]","[11, 21, 7, 3, 13, 26, 32, 19, 35, 23, 39, 28, 30, 8, 14]"
3,0.011331,0.002864,0.028922,"[2, 3, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 22, 26]","[18, 15, 3, 5, 26, 16, 32, 19, 35, 4, 23, 1, 39, 8, 6]"
4,0.011282,0.000448,0.028922,"[1, 2, 4, 6, 7, 10, 12, 13, 16, 17, 18, 19, 22, 23, 25]","[11, 18, 21, 7, 3, 26, 32, 19, 23, 1, 39, 28, 8, 17, 14]"
5,0.011226,0.001289,0.028922,"[2, 3, 4, 5, 7, 10, 12, 13, 14, 15, 18, 21, 22, 23, 26]","[18, 15, 21, 36, 3, 26, 32, 19, 35, 4, 39, 22, 8, 17, 6]"
6,0.010584,0.000343,0.028922,"[2, 3, 4, 5, 8, 10, 12, 13, 14, 16, 18, 21, 22, 23, 24]","[18, 15, 21, 36, 13, 26, 32, 19, 35, 23, 39, 22, 8, 17, 20]"
7,0.010483,0.000448,0.028922,"[1, 4, 5, 6, 7, 10, 11, 12, 13, 16, 18, 19, 22, 25, 26]","[11, 21, 36, 7, 3, 26, 16, 32, 19, 23, 39, 28, 8, 14, 6]"
8,0.010396,0.000343,0.028922,"[2, 3, 6, 7, 8, 10, 14, 15, 16, 17, 18, 22, 24, 25, 26]","[18, 15, 7, 3, 13, 26, 35, 4, 23, 1, 39, 8, 20, 14, 6]"
9,0.010316,0.000343,0.028922,"[0, 5, 6, 7, 8, 10, 12, 13, 14, 17, 18, 19, 20, 22, 24]","[2, 36, 7, 3, 13, 26, 32, 19, 35, 1, 39, 28, 30, 8, 20]"
10,0.010300,0.001609,0.028922,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 17, 18, 22, 26]","[2, 11, 18, 15, 21, 36, 7, 3, 13, 5, 19, 1, 39, 8, 6]"
11,0.010201,0.002864,0.028922,"[1, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 22, 26]","[11, 36, 7, 5, 26, 16, 32, 19, 35, 4, 23, 1, 39, 8, 6]"
12,0.010089,0.001609,0.028922,"[0, 4, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 22, 26]","[2, 21, 13, 5, 26, 16, 32, 19, 35, 4, 23, 1, 39, 8, 6]"
13,0.010015,0.001609,0.028922,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 14, 15, 18, 22, 26]","[2, 11, 18, 15, 21, 36, 7, 3, 13, 26, 35, 4, 39, 8, 6]"
14,0.009918,0.000448,0.028922,"[0, 2, 4, 6, 8, 9, 13, 14, 16, 17, 18, 19, 21, 22, 26]","[2, 18, 21, 7, 13, 5, 19, 35, 23, 1, 39, 28, 22, 8, 6]"
15,0.009834,0.001289,0.028922,"[1, 3, 4, 5, 6, 9, 12, 13, 14, 17, 20, 21, 22, 23, 25]","[11, 15, 21, 36, 7, 5, 32, 19, 35, 1, 30, 22, 8, 17, 14]"
16,0.009787,0.000343,0.028922,"[0, 2, 5, 7, 8, 10, 12, 13, 16, 17, 18, 20, 21, 22, 24]","[2, 18, 36, 3, 13, 26, 32, 19, 23, 1, 39, 30, 22, 8, 20]"
17,0.009685,0.000448,0.028922,"[0, 1, 3, 6, 8, 11, 13, 14, 15, 17, 18, 19, 22, 23, 25]","[2, 11, 15, 7, 13, 16, 19, 35, 4, 1, 39, 28, 8, 17, 14]"
18,0.009636,0.000343,0.028922,"[1, 3, 4, 7, 8, 9, 10, 13, 14, 16, 19, 20, 22, 24, 25]","[11, 15, 21, 3, 13, 5, 26, 19, 35, 23, 28, 30, 8, 20, 14]"
19,0.009631,0.000448,0.028922,"[0, 1, 2, 3, 6, 9, 10, 11, 14, 17, 18, 19, 20, 22, 25]","[2, 11, 18, 15, 7, 5, 26, 16, 35, 1, 39, 28, 30, 8, 14]"
20,0.009623,0.000343,0.028922,"[0, 4, 5, 7, 8, 9, 10, 12, 13, 17, 18, 20, 22, 24, 26]","[2, 21, 36, 3, 13, 5, 26, 32, 19, 1, 39, 30, 8, 20, 6]"
21,0.009514,0.000343,0.028922,"[1, 2, 3, 4, 7, 9, 10, 13, 16, 17, 19, 22, 23, 24, 25]","[11, 18, 15, 21, 3, 5, 26, 19, 23, 1, 28, 8, 17, 20, 14]"
22,0.009492,0.000448,0.028922,"[0, 3, 4, 5, 6, 11, 12, 13, 14, 17, 19, 21, 22, 23, 25]","[2, 15, 21, 36, 7, 16, 32, 19, 35, 1, 28, 22, 8, 17, 14]"
23,0.009386,0.000343,0.028922,"[2, 3, 7, 9, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]","[18, 15, 3, 5, 19, 1, 39, 28, 30, 22, 8, 17, 20, 14, 6]"
24,0.009200,0.000448,0.028922,"[0, 1, 4, 7, 8, 10, 13, 14, 15, 16, 19, 20, 21, 22, 25]","[2, 11, 21, 3, 13, 26, 19, 35, 4, 23, 28, 30, 22, 8, 14]"
25,0.009156,0.001289,0.028922,"[0, 1, 2, 3, 8, 11, 13, 15, 16, 17, 18, 21, 22, 23, 25]","[2, 11, 18, 15, 13, 16, 19, 4, 23, 1, 39, 22, 8, 17, 14]"
26,0.009150,0.001609,0.028922,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 16, 18, 22, 26]","[2, 11, 18, 15, 21, 36, 7, 3, 13, 16, 32, 23, 39, 8, 6]"
27,0.009101,0.000343,0.028922,"[2, 3, 7, 10, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26]","[18, 15, 3, 26, 35, 4, 39, 28, 30, 22, 8, 17, 20, 14, 6]"
28,0.009095,0.002977,0.023528,"[2, 3, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21, 25]","[18, 15, 3, 5, 26, 16, 32, 19, 35, 4, 23, 1, 30, 22, 14]"
29,0.009080,0.000448,0.023528,"[2, 4, 6, 7, 8, 9, 12, 13, 14, 16, 18, 19, 20, 21, 26]","[18, 21, 7, 3, 13, 5, 32, 19, 35, 23, 39, 28, 30, 22, 6]"
30,0.009078,0.000448,0.028922,"[0, 1, 2, 4, 7, 10, 13, 15, 16, 17, 19, 21, 22, 23, 25]","[2, 11, 18, 21, 3, 26, 19, 4, 23, 1, 28, 22, 8, 17, 14]"
31,0.009027,0.001289,0.028922,"[1, 3, 4, 5, 7, 9, 12, 13, 14, 15, 20, 21, 22, 23, 26]","[11, 15, 21, 36, 3, 5, 32, 19, 35, 4, 30, 22, 8, 17, 6]"
32,0.008992,0.001289,0.028922,"[0, 1, 3, 4, 8, 9, 11, 13, 15, 17, 18, 22, 23, 25, 26]","[2, 11, 15, 21, 13, 5, 16, 19, 4, 1, 39, 8, 17, 14, 6]"
33,0.008847,0.000448,0.023528,"[1, 3, 6, 7, 8, 11, 12, 13, 14, 15, 18, 19, 20, 23, 25]","[11, 15, 7, 3, 13, 16, 32, 19, 35, 4, 39, 28, 30, 17, 14]"
34,0.008846,0.000343,0.028922,"[0, 3, 5, 6, 7, 10, 11, 12, 14, 17, 19, 20, 22, 24, 25]","[2, 15, 36, 7, 3, 26, 16, 32, 35, 1, 28, 30, 8, 20, 14]"
35,0.008824,0.000448,0.028922,"[0, 1, 2, 3, 7, 9, 10, 11, 14, 15, 18, 19, 20, 22, 26]","[2, 11, 18, 15, 3, 5, 26, 16, 35, 4, 39, 28, 30, 8, 6]"
36,0.008715,0.000343,0.028922,"[1, 3, 4, 5, 7, 9, 10, 11, 13, 16, 19, 22, 24, 25, 26]","[11, 15, 21, 36, 3, 5, 26, 16, 19, 23, 28, 8, 20, 14, 6]"
37,0.008709,0.000343,0.023528,"[2, 5, 6, 7, 8, 10, 13, 15, 16, 17, 18, 21, 24, 25, 26]","[18, 36, 7, 3, 13, 26, 19, 4, 23, 1, 39, 22, 20, 14, 6]"
38,0.008699,0.001289,0.028922,"[1, 2, 5, 6, 8, 11, 12, 14, 16, 17, 18, 20, 22, 23, 26]","[11, 18, 36, 7, 13, 16, 32, 35, 23, 1, 39, 30, 8, 17, 6]"
39,0.008686,0.000448,0.028922,"[0, 3, 4, 5, 7, 11, 12, 13, 14, 15, 19, 21, 22, 23, 26]","[2, 15, 21, 36, 3, 16, 32, 19, 35, 4, 28, 22, 8, 17, 6]"
40,0.008670,0.000448,0.023528,"[2, 5, 6, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20, 23, 26]","[18, 36, 7, 3, 13, 16, 32, 19, 35, 1, 39, 28, 30, 17, 6]"
41,0.008499,0.001289,0.019453,"[2, 4, 5, 6, 8, 10, 11, 12, 14, 17, 18, 20, 23, 25, 26]","[18, 21, 36, 7, 13, 26, 16, 32, 35, 1, 39, 30, 17, 14, 6]"
42,0.008448,0.000448,0.028922,"[0, 2, 3, 4, 6, 9, 11, 14, 16, 17, 19, 21, 22, 25, 26]","[2, 18, 15, 21, 7, 5, 16, 35, 23, 1, 28, 22, 8, 14, 6]"
43,0.008385,0.000343,0.028922,"[1, 3, 4, 5, 8, 9, 12, 13, 14, 16, 20, 21, 22, 23, 24]","[11, 15, 21, 36, 13, 5, 32, 19, 35, 23, 30, 22, 8, 17, 20]"
44,0.008382,0.000343,0.023528,"[2, 4, 5, 6, 8, 9, 10, 13, 14, 16, 18, 19, 21, 24, 26]","[18, 21, 36, 7, 13, 5, 26, 19, 35, 23, 39, 28, 22, 20, 6]"
45,0.008318,0.001289,0.023528,"[1, 2, 3, 7, 8, 11, 12, 13, 15, 16, 18, 20, 21, 23, 25]","[11, 18, 15, 3, 13, 16, 32, 19, 4, 23, 39, 30, 22, 17, 14]"
46,0.008317,0.000343,0.028922,"[0, 2, 3, 5, 7, 10, 11, 12, 16, 17, 20, 21, 22, 24, 25]","[2, 18, 15, 36, 3, 26, 16, 32, 23, 1, 30, 22, 8, 20, 14]"
47,0.008278,0.000448,0.028922,"[0, 1, 4, 5, 7, 10, 11, 13, 15, 16, 19, 21, 22, 25, 26]","[2, 11, 21, 36, 3, 26, 16, 19, 4, 23, 28, 22, 8, 14, 6]"
48,0.008257,0.000343,0.028922,"[1, 5, 6, 9, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]","[11, 36, 7, 5, 19, 1, 39, 28, 30, 22, 8, 17, 20, 14, 6]"
49,0.008236,0.000343,0.028922,"[2, 3, 7, 11, 12, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26]","[18, 15, 3, 16, 32, 23, 39, 28, 30, 22, 8, 17, 20, 14, 6]"
50,0.008197,0.000343,0.028922,"[0, 1, 3, 6, 8, 9, 12, 14, 15, 16, 18, 20, 21, 22, 24]","[2, 11, 15, 7, 13, 5, 32, 35, 4, 23, 39, 30, 22, 8, 20]"
51,0.008196,0.000343,0.028922,"[1, 3, 6, 7, 8, 9, 14, 15, 16, 17, 20, 22, 24, 25, 26]","[11, 15, 7, 3, 13, 5, 35, 4, 23, 1, 30, 8, 20, 14, 6]"
52,0.008194,0.000343,0.019453,"[2, 4, 6, 7, 8, 10, 12, 15, 16, 17, 18, 23, 24, 25, 26]","[18, 21, 7, 3, 13, 26, 32, 4, 23, 1, 39, 17, 20, 14, 6]"
53,0.008182,0.000343,0.028922,"[0, 1, 2, 3, 8, 9, 10, 11, 14, 16, 18, 19, 20, 22, 24]","[2, 11, 18, 15, 13, 5, 26, 16, 35, 23, 39, 28, 30, 8, 20]"
54,0.008169,0.000343,0.023528,"[0, 3, 6, 7, 8, 9, 12, 13, 14, 15, 18, 19, 20, 21, 24]","[2, 15, 7, 3, 13, 5, 32, 19, 35, 4, 39, 28, 30, 22, 20]"
55,0.008154,0.001289,0.023528,"[1, 3, 4, 7, 8, 9, 11, 12, 13, 15, 18, 20, 23, 25, 26]","[11, 15, 21, 3, 13, 5, 16, 32, 19, 4, 39, 30, 17, 14, 6]"
56,0.008153,0.000343,0.028922,"[0, 3, 4, 5, 7, 9, 10, 11, 12, 17, 20, 22, 24, 25, 26]","[2, 15, 21, 36, 3, 5, 26, 16, 32, 1, 30, 8, 20, 14, 6]"
57,0.008149,0.000343,0.023528,"[1, 3, 5, 6, 8, 10, 11, 13, 14, 15, 18, 19, 23, 24, 25]","[11, 15, 36, 7, 13, 26, 16, 19, 35, 4, 39, 28, 17, 20, 14]"
58,0.008144,0.000343,0.028922,"[0, 4, 8, 9, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]","[2, 21, 13, 5, 19, 1, 39, 28, 30, 22, 8, 17, 20, 14, 6]"
59,0.008075,0.000343,0.028922,"[0, 1, 2, 3, 6, 9, 12, 15, 16, 17, 18, 21, 22, 23, 24]","[2, 11, 18, 15, 7, 5, 32, 4, 23, 1, 39, 22, 8, 17, 20]"
60,0.008064,0.001609,0.023528,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 17, 20, 21, 25]","[2, 11, 18, 15, 21, 36, 7, 3, 13, 5, 19, 1, 30, 22, 14]"
61,0.008053,0.000343,0.023528,"[2, 3, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 23, 24]","[18, 15, 3, 5, 26, 16, 32, 19, 35, 4, 23, 1, 28, 17, 20]"
62,0.008047,0.000343,0.023528,"[0, 2, 3, 6, 7, 9, 12, 13, 15, 17, 18, 19, 21, 23, 24]","[2, 18, 15, 7, 3, 5, 32, 19, 4, 1, 39, 28, 22, 17, 20]"
63,0.008044,0.000343,0.028922,"[0, 3, 4, 5, 8, 11, 12, 13, 14, 16, 19, 21, 22, 23, 24]","[2, 15, 21, 36, 13, 16, 32, 19, 35, 23, 28, 22, 8, 17, 20]"
64,0.007997,0.000343,0.019453,"[0, 3, 4, 6, 8, 9, 10, 12, 14, 15, 18, 20, 21, 24, 25]","[2, 15, 21, 7, 13, 5, 26, 32, 35, 4, 39, 30, 22, 20, 14]"
65,0.007971,0.000343,0.028922,"[1, 5, 6, 10, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26]","[11, 36, 7, 26, 35, 4, 39, 28, 30, 22, 8, 17, 20, 14, 6]"
66,0.007966,0.002864,0.023528,"[1, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21, 25]","[11, 36, 7, 5, 26, 16, 32, 19, 35, 4, 23, 1, 30, 22, 14]"
67,0.007944,0.000448,0.023528,"[0, 1, 2, 5, 6, 9, 10, 11, 13, 17, 18, 19, 20, 21, 25]","[2, 11, 18, 36, 7, 5, 26, 16, 19, 1, 39, 28, 30, 22, 14]"
68,0.007875,0.000343,0.019453,"[0, 2, 3, 4, 6, 9, 10, 12, 15, 17, 18, 21, 23, 24, 25]","[2, 18, 15, 21, 7, 5, 26, 32, 4, 1, 39, 22, 17, 20, 14]"
69,0.007859,0.000343,0.028922,"[0, 4, 8, 10, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26]","[2, 21, 13, 26, 35, 4, 39, 28, 30, 22, 8, 17, 20, 14, 6]"
70,0.007855,0.000343,0.028922,"[0, 3, 6, 7, 8, 11, 14, 15, 16, 17, 19, 22, 24, 25, 26]","[2, 15, 7, 3, 13, 16, 35, 4, 23, 1, 28, 8, 20, 14, 6]"
71,0.007853,0.001609,0.023528,"[0, 4, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21, 25]","[2, 21, 13, 5, 26, 16, 32, 19, 35, 4, 23, 1, 30, 22, 14]"
72,0.007779,0.001609,0.015444,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 14, 15, 20, 21, 25]","[2, 11, 18, 15, 21, 36, 7, 3, 13, 26, 35, 4, 30, 22, 14]"
73,0.007709,0.000343,0.028922,"[0, 1, 5, 6, 7, 10, 12, 14, 15, 17, 19, 20, 22, 23, 24]","[2, 11, 36, 7, 3, 26, 32, 35, 4, 1, 28, 30, 8, 17, 20]"
74,0.007620,0.000343,0.023528,"[1, 2, 3, 5, 8, 10, 11, 13, 15, 16, 18, 21, 23, 24, 25]","[11, 18, 15, 36, 13, 26, 16, 19, 4, 23, 39, 22, 17, 20, 14]"
75,0.007610,0.000448,0.015444,"[2, 3, 4, 6, 7, 9, 11, 12, 14, 16, 19, 20, 21, 25, 26]","[18, 15, 21, 7, 3, 5, 16, 32, 35, 23, 28, 30, 22, 14, 6]"
76,0.007456,0.000343,0.023528,"[1, 3, 4, 5, 8, 9, 10, 11, 13, 15, 18, 23, 24, 25, 26]","[11, 15, 21, 36, 13, 5, 26, 16, 19, 4, 39, 17, 20, 14, 6]"
77,0.007429,0.000448,0.019453,"[0, 1, 2, 4, 6, 9, 10, 11, 12, 17, 18, 19, 20, 23, 25]","[2, 11, 18, 21, 7, 5, 26, 16, 32, 1, 39, 28, 30, 17, 14]"
78,0.007311,0.000448,0.028922,"[0, 1, 2, 4, 6, 9, 14, 15, 16, 17, 19, 21, 22, 23, 26]","[2, 11, 18, 21, 7, 5, 35, 4, 23, 1, 28, 22, 8, 17, 6]"
79,0.007276,0.000343,0.028922,"[0, 1, 3, 5, 6, 9, 11, 12, 15, 16, 18, 21, 22, 24, 26]","[2, 11, 15, 36, 7, 5, 16, 32, 4, 23, 39, 22, 8, 20, 6]"
80,0.007247,0.000343,0.023528,"[0, 3, 5, 6, 7, 9, 11, 12, 13, 15, 18, 19, 21, 24, 26]","[2, 15, 36, 7, 3, 5, 16, 32, 19, 4, 39, 28, 22, 20, 6]"
81,0.007180,0.000343,0.028922,"[0, 1, 2, 5, 7, 10, 12, 15, 16, 17, 20, 21, 22, 23, 24]","[2, 11, 18, 36, 3, 26, 32, 4, 23, 1, 30, 22, 8, 17, 20]"
82,0.007137,0.000448,0.023528,"[0, 1, 2, 5, 7, 9, 10, 11, 13, 15, 18, 19, 20, 21, 26]","[2, 11, 18, 36, 3, 5, 26, 16, 19, 4, 39, 28, 30, 22, 6]"
83,0.007107,0.000343,0.028922,"[1, 5, 6, 11, 12, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26]","[11, 36, 7, 16, 32, 23, 39, 28, 30, 22, 8, 17, 20, 14, 6]"
84,0.007076,0.000343,0.019453,"[0, 3, 4, 5, 6, 9, 10, 11, 12, 15, 18, 21, 24, 25, 26]","[2, 15, 21, 36, 7, 5, 26, 16, 32, 4, 39, 22, 20, 14, 6]"
85,0.007023,0.000343,0.023528,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 17, 19, 23, 24]","[2, 11, 18, 15, 21, 36, 7, 3, 13, 5, 19, 1, 28, 17, 20]"
86,0.007017,0.000343,0.028922,"[0, 1, 4, 5, 7, 9, 10, 12, 15, 17, 20, 22, 23, 24, 26]","[2, 11, 21, 36, 3, 5, 26, 32, 4, 1, 30, 8, 17, 20, 6]"
87,0.006994,0.000343,0.028922,"[0, 4, 8, 11, 12, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26]","[2, 21, 13, 16, 32, 23, 39, 28, 30, 22, 8, 17, 20, 14, 6]"
88,0.006931,0.000343,0.028922,"[1, 2, 3, 5, 8, 9, 11, 14, 16, 17, 20, 22, 23, 24, 26]","[11, 18, 15, 36, 13, 5, 16, 35, 23, 1, 30, 8, 17, 20, 6]"
89,0.006924,0.000343,0.023528,"[1, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 23, 24]","[11, 36, 7, 5, 26, 16, 32, 19, 35, 4, 23, 1, 28, 17, 20]"
90,0.006914,0.001609,0.012528,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 16, 20, 21, 25]","[2, 11, 18, 15, 21, 36, 7, 3, 13, 16, 32, 23, 30, 22, 14]"
91,0.006911,0.000343,0.015444,"[2, 3, 4, 5, 6, 9, 10, 11, 14, 16, 19, 21, 24, 25, 26]","[18, 15, 21, 36, 7, 5, 26, 16, 35, 23, 28, 22, 20, 14, 6]"
92,0.006902,0.000343,0.023528,"[2, 3, 5, 7, 8, 9, 11, 13, 14, 17, 19, 20, 23, 24, 26]","[18, 15, 36, 3, 13, 5, 16, 19, 35, 1, 28, 30, 17, 20, 6]"
93,0.006811,0.000343,0.023528,"[0, 4, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 23, 24]","[2, 21, 13, 5, 26, 16, 32, 19, 35, 4, 23, 1, 28, 17, 20]"
94,0.006737,0.000343,0.015444,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 14, 15, 19, 23, 24]","[2, 11, 18, 15, 21, 36, 7, 3, 13, 26, 35, 4, 28, 17, 20]"
95,0.006730,0.000343,0.015444,"[2, 3, 4, 5, 8, 9, 10, 11, 14, 17, 20, 23, 24, 25, 26]","[18, 15, 21, 36, 13, 5, 26, 16, 35, 1, 30, 17, 20, 14, 6]"
96,0.006623,0.000448,0.019453,"[0, 1, 2, 4, 7, 9, 10, 11, 12, 15, 18, 19, 20, 23, 26]","[2, 11, 18, 21, 3, 5, 26, 16, 32, 4, 39, 28, 30, 17, 6]"
97,0.006509,0.000343,0.023528,"[1, 5, 6, 7, 8, 9, 13, 15, 16, 17, 20, 21, 24, 25, 26]","[11, 36, 7, 3, 13, 5, 19, 4, 23, 1, 30, 22, 20, 14, 6]"
98,0.006495,0.000343,0.023528,"[0, 1, 2, 5, 8, 9, 10, 11, 13, 16, 18, 19, 20, 21, 24]","[2, 11, 18, 36, 13, 5, 26, 16, 19, 23, 39, 28, 30, 22, 20]"
99,0.006494,0.001289,0.028922,"[0, 1, 2, 5, 8, 11, 14, 15, 16, 17, 20, 21, 22, 23, 26]","[2, 11, 18, 36, 13, 16, 35, 4, 23, 1, 30, 22, 8, 17, 6]"
100,0.006473,0.000448,0.015444,"[1, 2, 4, 6, 7, 9, 12, 14, 15, 16, 19, 20, 21, 23, 26]","[11, 18, 21, 7, 3, 5, 32, 35, 4, 23, 28, 30, 22, 17, 6]"
101,0.006466,0.000448,0.023528,"[0, 2, 5, 7, 8, 11, 13, 14, 15, 17, 19, 20, 21, 23, 26]","[2, 18, 36, 3, 13, 16, 19, 35, 4, 1, 28, 30, 22, 17, 6]"
102,0.006294,0.001289,0.015444,"[0, 2, 4, 5, 8, 10, 11, 14, 15, 17, 20, 21, 23, 25, 26]","[2, 18, 21, 36, 13, 26, 16, 35, 4, 1, 30, 22, 17, 14, 6]"
103,0.006168,0.000343,0.023528,"[0, 5, 6, 7, 8, 11, 13, 15, 16, 17, 19, 21, 24, 25, 26]","[2, 36, 7, 3, 13, 16, 19, 4, 23, 1, 28, 22, 20, 14, 6]"
104,0.005995,0.000343,0.012528,"[1, 4, 6, 7, 8, 9, 12, 15, 16, 17, 20, 23, 24, 25, 26]","[11, 21, 7, 3, 13, 5, 32, 4, 23, 1, 30, 17, 20, 14, 6]"
105,0.005981,0.000343,0.019453,"[0, 1, 2, 4, 8, 9, 10, 11, 12, 16, 18, 19, 20, 23, 24]","[2, 11, 18, 21, 13, 5, 26, 16, 32, 23, 39, 28, 30, 17, 20]"
106,0.005873,0.000343,0.012528,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 16, 19, 23, 24]","[2, 11, 18, 15, 21, 36, 7, 3, 13, 16, 32, 23, 28, 17, 20]"
107,0.005775,0.000343,0.015444,"[1, 2, 4, 5, 6, 9, 10, 14, 15, 16, 19, 21, 23, 24, 26]","[11, 18, 21, 36, 7, 5, 26, 35, 4, 23, 28, 22, 17, 20, 6]"
108,0.005654,0.000343,0.012528,"[0, 4, 6, 7, 8, 11, 12, 15, 16, 17, 19, 23, 24, 25, 26]","[2, 21, 7, 3, 13, 16, 32, 4, 23, 1, 28, 17, 20, 14, 6]"
