u,v,delta_sum_mod8,abs_delta,sigma_u,sigma_v,sigma_product,flip_support_4set,edge_elem_2T,edge_elem_order,edge_center_class,projective_trivial,img_sec0_m0,img_sec1_m0,img_sec2_m0,img_sec3_m0
0,6,0,0,-1,-1,1,1 2 3 7,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
0,20,4,4,-1,-1,1,3 7 9 10,e*,2,e*,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
0,26,6,2,-1,1,-1,6 9 10 11,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
0,45,6,2,-1,1,-1,3 6 7 11,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
0,48,6,2,-1,1,-1,4 5 9 10,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
1,16,2,2,-1,1,-1,0 1 4 9,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
1,17,0,0,-1,-1,1,2 3 7 8,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
1,32,2,2,-1,1,-1,4 5 9 10,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
1,50,0,0,-1,-1,1,3 4 8 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
1,54,2,2,-1,1,-1,0 1 3 8,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
2,17,6,2,1,-1,-1,4 5 9 10,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
2,21,6,2,1,-1,-1,6 9 10 11,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
2,30,0,0,1,1,1,0 1 9 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
2,32,0,0,1,1,1,2 3 7 8,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
3,11,0,0,-1,-1,1,2 3 7 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
3,14,2,2,-1,1,-1,6 7 10 11,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
3,22,2,2,-1,1,-1,0 1 4 8,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
4,7,0,0,-1,-1,1,4 5 6 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
4,46,6,2,-1,1,-1,1 2 7 8,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
4,47,2,2,-1,1,-1,3 6 10 11,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
4,52,0,0,-1,-1,1,0 1 8 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
5,30,2,2,-1,1,-1,1 2 3 10,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
5,40,0,0,-1,-1,1,3 7 8 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
5,46,6,2,-1,1,-1,3 6 10 11,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
5,47,2,2,-1,1,-1,1 2 7 8,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
6,24,6,2,-1,1,-1,1 3 9 10,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
6,32,6,2,-1,1,-1,0 1 3 8,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
6,35,6,2,-1,1,-1,6 9 10 11,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
6,38,6,2,-1,1,-1,1 3 9 10,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
6,54,6,2,-1,1,-1,4 5 9 10,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
7,29,0,0,-1,-1,1,0 1 8 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
7,36,6,2,-1,1,-1,1 2 7 8,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
8,23,2,2,1,-1,-1,0 1 4 8,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
8,39,0,0,1,1,1,5 6 9 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
8,50,2,2,1,-1,-1,3 6 9 11,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
9,16,0,0,1,1,1,1 3 4 8,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
9,31,0,0,1,1,1,1 2 3 7,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
9,50,6,2,1,-1,-1,0 1 3 9,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
9,54,0,0,1,1,1,0 4 8 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
10,12,4,4,1,1,1,3 7 10 11,e*,2,e*,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
10,26,0,0,1,1,1,4 5 6 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
10,33,0,0,1,1,1,1 2 3 7,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
11,25,2,2,-1,1,-1,0 1 4 8,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
11,39,6,2,-1,1,-1,3 6 10 11,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
11,50,0,0,-1,-1,1,3 5 9 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
12,15,2,2,1,-1,-1,1 2 7 10,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
12,27,0,0,1,1,1,4 5 6 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
13,15,0,0,-1,-1,1,4 5 6 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
13,23,0,0,-1,-1,1,1 4 5 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
13,27,6,2,-1,1,-1,1 2 7 10,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
13,35,2,2,-1,1,-1,1 3 10 11,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
13,38,2,2,-1,1,-1,3 6 9 11,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
13,52,0,0,-1,-1,1,1 6 9 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
14,28,2,2,1,-1,-1,0 1 4 8,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
14,37,6,2,1,-1,-1,4 6 7 8,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
15,29,0,0,-1,-1,1,1 5 9 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
15,33,2,2,-1,1,-1,1 3 10 11,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
15,53,0,0,-1,-1,1,1 4 6 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
16,34,0,0,1,1,1,0 3 8 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
16,55,0,0,1,1,1,2 3 7 8,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
16,56,0,0,1,1,1,1 4 5 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
17,55,2,2,-1,1,-1,0 1 4 9,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
18,21,0,0,-1,-1,1,2 3 7 8,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
18,32,2,2,-1,1,-1,6 9 10 11,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
18,35,2,2,-1,1,-1,0 1 3 8,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
18,51,0,0,-1,-1,1,4 5 6 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
19,20,6,2,1,-1,-1,1 2 3 9,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
19,22,0,0,1,1,1,1 4 5 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
19,24,0,0,1,1,1,2 3 7 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
19,41,0,0,1,1,1,0 1 8 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
19,42,2,2,1,-1,-1,6 7 10 11,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
20,27,6,2,-1,1,-1,3 6 9 11,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
20,38,2,2,-1,1,-1,1 2 7 10,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
20,40,0,0,-1,-1,1,0 3 8 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
20,44,2,2,-1,1,-1,6 7 10 11,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
21,37,0,0,-1,-1,1,4 5 6 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
22,25,0,0,1,1,1,2 3 7 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
22,28,2,2,1,-1,-1,6 7 10 11,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
23,29,0,0,-1,-1,1,1 4 6 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
23,34,2,2,-1,1,-1,3 6 9 11,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
23,53,0,0,-1,-1,1,5 6 9 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
24,25,0,0,1,1,1,1 4 5 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
24,38,0,0,1,1,1,1 3 9 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
24,47,0,0,1,1,1,0 1 8 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
24,52,6,2,1,-1,-1,3 6 10 11,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
25,34,0,0,1,1,1,3 5 9 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
25,53,6,2,1,-1,-1,3 6 10 11,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
26,27,4,4,1,1,1,3 7 10 11,e*,2,e*,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
26,35,0,0,1,1,1,1 2 3 7,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
26,44,0,0,1,1,1,3 6 7 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
27,45,4,4,1,1,1,6 7 9 10,e*,2,e*,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
28,42,0,0,-1,-1,1,1 4 5 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
29,52,0,0,-1,-1,1,4 5 6 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
30,41,0,0,1,1,1,1 7 8 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
30,55,0,0,1,1,1,1 4 5 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
30,56,0,0,1,1,1,2 3 7 8,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
31,43,6,2,1,-1,-1,3 6 7 11,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
31,48,0,0,1,1,1,0 4 8 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
32,56,0,0,1,1,1,0 1 9 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
33,35,0,0,1,1,1,4 5 6 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
33,51,6,2,1,-1,-1,0 1 3 8,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
34,38,0,0,1,1,1,1 4 5 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
34,50,6,2,1,-1,-1,0 1 4 8,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
34,54,0,0,1,1,1,1 3 4 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
36,43,2,2,1,-1,-1,4 6 7 8,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
36,46,0,0,1,1,1,4 5 6 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
37,51,0,0,-1,-1,1,2 3 7 8,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
38,56,0,0,1,1,1,0 3 8 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
39,53,2,2,1,-1,-1,0 1 4 8,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
40,41,2,2,-1,1,-1,1 2 3 8,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
40,49,2,2,-1,1,-1,6 7 10 11,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
40,56,2,2,-1,1,-1,1 2 7 10,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
41,47,0,0,1,1,1,2 3 7 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
41,58,2,2,1,-1,-1,6 7 10 11,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
42,44,6,2,-1,1,-1,1 2 3 9,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
42,58,0,0,-1,-1,1,0 1 8 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
43,57,0,0,-1,-1,1,0 4 8 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
44,45,0,0,1,1,1,3 9 10 11,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
44,49,0,0,1,1,1,0 3 8 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
45,57,6,2,1,-1,-1,4 5 9 10,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
47,56,0,0,1,1,1,1 3 8 10,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
48,54,0,0,1,1,1,1 2 3 7,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
48,57,6,2,1,-1,-1,3 6 7 11,(0 2 1),6,e*,False,sec0_m2,sec2_m2,sec3_m2,sec1_m2
49,58,2,2,1,-1,-1,1 2 3 8,(0 1 2),6,e*,False,sec0_m1,sec3_m1,sec1_m1,sec2_m1
52,53,0,0,-1,-1,1,1 4 5 9,e,1,e,True,sec0_m0,sec1_m0,sec2_m0,sec3_m0
